iter,objective,gap,alpha
250,8.279427e+05,2.107592e-05,0.003999
251,8.279425e+05,2.840088e-05,0.007051
252,8.279424e+05,2.036921e-05,0.003589
253,8.279422e+05,2.302920e-05,0.004807
254,8.279421e+05,2.467043e-05,0.005582
255,8.279419e+05,2.171405e-05,0.004365
256,8.279417e+05,2.873900e-05,0.007291
257,8.279415e+05,2.100178e-05,0.003721
258,8.279414e+05,2.482275e-05,0.005115
259,8.279412e+05,2.315220e-05,0.004864
260,8.279411e+05,2.183012e-05,0.004948
261,8.279410e+05,2.203729e-05,0.004270
262,8.279409e+05,1.933456e-05,0.003989
263,8.279407e+05,2.303766e-05,0.005588
264,8.279406e+05,2.162154e-05,0.004329
265,8.279405e+05,1.822277e-05,0.003374
266,8.279403e+05,2.911468e-05,0.006532
267,8.279401e+05,2.151502e-05,0.004228
268,8.279400e+05,2.512953e-05,0.006111
269,8.279399e+05,1.757188e-05,0.002966
270,8.279397e+05,2.806255e-05,0.006716
271,8.279396e+05,1.891239e-05,0.003013
272,8.279394e+05,2.514440e-05,0.005710
273,8.279393e+05,1.811738e-05,0.003508
274,8.279392e+05,2.034359e-05,0.004552
275,8.279391e+05,2.026436e-05,0.004290
276,8.279389e+05,2.514803e-05,0.005253
277,8.279388e+05,1.871938e-05,0.003561
278,8.279387e+05,2.211170e-05,0.004923
279,8.279386e+05,1.679035e-05,0.003211
280,8.279385e+05,2.032827e-05,0.004665
281,8.279384e+05,2.001582e-05,0.003603
282,8.279382e+05,2.192956e-05,0.005235
283,8.279381e+05,2.039513e-05,0.004108
284,8.279380e+05,2.317259e-05,0.005660
285,8.279379e+05,1.880751e-05,0.003708
286,8.279378e+05,1.962916e-05,0.004153
287,8.279376e+05,2.082447e-05,0.004281
288,8.279375e+05,2.180290e-05,0.004838
289,8.279374e+05,2.478686e-05,0.005231
290,8.279373e+05,1.424830e-05,0.002513
291,8.279372e+05,1.922635e-05,0.004629
292,8.279371e+05,1.949808e-05,0.003484
293,8.279370e+05,2.053001e-05,0.004726
294,8.279369e+05,2.081409e-05,0.004489
295,8.279368e+05,1.723848e-05,0.003098
296,8.279367e+05,2.235580e-05,0.005023
297,8.279366e+05,1.727172e-05,0.002851
298,8.279365e+05,1.981305e-05,0.005056
299,8.279364e+05,1.849131e-05,0.003739
300,8.279362e+05,1.885875e-05,0.004548
301,8.279362e+05,1.625782e-05,0.003017
302,8.279361e+05,1.811011e-05,0.003841
303,8.279360e+05,1.788749e-05,0.003700
304,8.279359e+05,1.968527e-05,0.004448
305,8.279357e+05,2.400516e-05,0.005269
306,8.279357e+05,1.544972e-05,0.002692
307,8.279355e+05,2.048615e-05,0.005075
308,8.279355e+05,1.581686e-05,0.002625
309,8.279353e+05,2.105406e-05,0.005225
310,8.279353e+05,1.550031e-05,0.002576
311,8.279352e+05,2.024852e-05,0.005005
312,8.279351e+05,1.568209e-05,0.002468
313,8.279350e+05,1.864124e-05,0.004006
314,8.279349e+05,1.407770e-05,0.002475
315,8.279348e+05,1.934620e-05,0.004937
316,8.279347e+05,1.887190e-05,0.003860
317,8.279347e+05,1.534169e-05,0.003349
318,8.279346e+05,1.988456e-05,0.004491
319,8.279345e+05,1.426528e-05,0.002733
320,8.279344e+05,2.085449e-05,0.004369
321,8.279343e+05,1.539409e-05,0.002828
322,8.279342e+05,1.675659e-05,0.004127
323,8.279341e+05,1.791523e-05,0.003623
324,8.279341e+05,1.759839e-05,0.004070
325,8.279339e+05,2.132915e-05,0.005183
326,8.279338e+05,1.813773e-05,0.003134
327,8.279338e+05,1.648499e-05,0.003781
328,8.279337e+05,1.599124e-05,0.003305
329,8.279336e+05,1.760241e-05,0.003785
330,8.279335e+05,1.650008e-05,0.003133
331,8.279334e+05,2.097623e-05,0.005483
332,8.279334e+05,1.467075e-05,0.002491
333,8.279333e+05,1.739686e-05,0.003772
334,8.279332e+05,1.463594e-05,0.002910
335,8.279332e+05,1.142235e-05,0.001987
336,8.279331e+05,1.776223e-05,0.004209
337,8.279330e+05,1.441928e-05,0.002798
338,8.279329e+05,1.959928e-05,0.004637
339,8.279328e+05,2.048518e-05,0.004165
340,8.279328e+05,1.395329e-05,0.002765
341,8.279327e+05,1.580480e-05,0.003059
342,8.279326e+05,1.232143e-05,0.002414
343,8.279326e+05,1.751752e-05,0.003996
344,8.279325e+05,1.648619e-05,0.003561
345,8.279324e+05,1.396084e-05,0.002952
346,8.279323e+05,1.557620e-05,0.003293
347,8.279323e+05,1.717258e-05,0.003371
348,8.279322e+05,1.750870e-05,0.003819
